País,Indice Objetivos de Desarrollo Sostenible(ODS),Expectativa de vida,Indice de Desarrollo Humano (HDI),PiB Per Capita ,Grupo de Ingresos,Población (millones),Huella de Carbono ,Huella Ecológica,Biocapacidad,Tierra
Grenada,,72.0,"0,77",9.092,Medios-Altos," 0,1 ","0,0","4,2","2,1","1,6"
Guadeloupe,,,,,," 0,4 ","0,0","5,7","0,5","2,3"
Guatemala,"59,9",74.0,"0,66",3.164,Bajos-Medios," 17,2 ","0,9","3,3","1,0","1,1"
Guinea,"51,0",61.0,"0,47",897,Bajos," 12,4 ","0,3","3,4","2,1","1,2"
Guinea-Bissau,,58.0,"0,47",623,Bajos," 1,9 ","0,2","3,0","2,7","0,9"
Guyana,"57,9",70.0,"0,68",5.825,Bajos-Medios," 0,8 ","2,8","6,4","72,7","2,2"
Haiti,"51,4",64.0,"0,51",1.282,Bajos," 11,1 ","0,2","1,0","0,2","0,4"
Honduras,"62,8",75.0,"0,63",2.219,Bajos-Medios," 9,6 ","0,0","2,9","1,7","1,0"
Hungary,"78,8",76.0,"0,85",16.894,Altos," 9,7 ","4,1","7,7","2,6","2,4"
India,"60,1",69.0,"0,64",2.085,Bajos-Medios," 1.352,6 ","1,3","2,4","0,4","0,8"
Indonesia,"66,3",72.0,"0,71",4.296,Bajos-Medios," 267,7 ","1,4","3,6","1,2","1,1"
"Iran, Islamic Republic of","70,0",76.0,"0,79",6.443,Medios-Altos," 81,8 ","5,0","6,6","0,7","2,1"
Iraq,"63,8",70.0,"0,67",5.464,Bajos-Medios," 38,4 ","2,5","3,1","0,2","1,1"
Ireland,"81,0",82.0,"0,95",77.407,Altos," 4,8 ","5,8","10,0","3,1","3,3"
Israel,"75,0",83.0,"0,92",36.867,Altos," 8,4 ","5,8","7,4","0,2","2,9"
Italy,"78,8",83.0,"0,89",35.277,Altos," 60,7 ","4,5","6,7","0,8","2,7"
Jamaica,"69,0",74.0,"0,73",4.855,Medios-Altos," 2,9 ","1,8","2,9","0,4","1,0"
Japan,"79,8",84.0,"0,92",48.506,Altos," 127,2 ","6,6","8,2","0,6","2,9"
Jordan,"70,1",74.0,"0,73",3.307,Medios-Altos," 10,0 ","1,8","2,8","0,2","1,1"
Kazakhstan,"71,6",73.0,"0,82",11.136,Medios-Altos," 18,3 ","7,8","10,8","3,6","3,1"
Kenya,"60,6",66.0,"0,60",1.201,Bajos," 51,4 ","0,4","1,8","0,5","0,6"
Korea,,72.0,,-,Bajos," 25,5 ","1,4","2,3","0,6","0,7"
"Korea, Republic of","78,6",83.0,"0,91",28.336,Altos," 51,2 ","9,1","11,2","0,6","4,0"
Kuwait,"62,5",75.0,"0,81",33.113,Altos," 4,1 ","14,2","15,8","0,5","5,0"
Kyrgyzstan,"74,0",71.0,"0,70",1.094,Bajos," 6,3 ","1,4","2,9","1,2","1,0"
Lao People's Democratic Republic,"63,0",68.0,"0,61",1.786,Bajos-Medios," 7,1 ","1,2","4,1","1,7","1,2"
Latvia,"79,2",75.0,"0,86",16.252,Altos," 1,9 ","3,3","14,0","8,2","4,0"
Lebanon,"66,8",79.0,"0,75",6.205,Medios-Altos," 6,9 ","3,2","4,5","0,3","1,9"
Lesotho,"54,6",54.0,"0,52",1.375,Bajos-Medios," 2,1 ","1,0","2,8","0,8","1,0"
Liberia,"48,6",64.0,"0,48",541,Bajos," 4,8 ","0,1","2,3","3,0","0,8"
Libyan Arab Jamahiriya,,73.0,"0,72",8.039,Medios-Altos," 6,7 ","4,6","6,2","0,6","2,1"
Lithuania,"76,7",76.0,"0,88",17.744,Medios-Altos," 2,8 ","4,8","11,4","4,7","3,8"
Luxembourg,"74,2",82.0,"0,91",111.381,Altos," 0,6 ","15,0","19,2","1,2","8,2"
Madagascar,"49,0",67.0,"0,53",490,Bajos," 26,3 ","0,1","1,8","2,2","0,6"
Malawi,"51,4",64.0,"0,48",515,Bajos," 18,1 ","0,1","1,7","0,7","0,6"
Malaysia,"70,9",76.0,"0,81",12.116,Medios-Altos," 31,5 ","5,2","8,5","2,2","2,7"
Mali,"52,2",59.0,"0,43",779,Bajos," 19,1 ","0,3","3,2","1,9","1,0"
Malta,"75,7",82.0,"0,89",31.604,Altos," 0,4 ","0,0","6,8","0,5","3,4"
Martinique,,,,,," 0,4 ","0,0","5,5","0,4","2,2"
Mauritania,"55,5",65.0,"0,54",1.704,Bajos-Medios," 4,4 ","0,7","5,0","3,9","1,6"
Mauritius,"66,7",74.0,"0,80",10.561,Medios-Altos," 1,3 ","0,0","5,0","0,7","2,0"
Mexico,"69,1",75.0,"0,78",10.381,Medios-Altos," 126,2 ","2,5","4,4","1,2","1,5"
Mongolia,"63,8",70.0,"0,74",4.211,Bajos-Medios," 3,2 ","4,6","15,3","14,1","4,6"
Montenegro,"68,2",77.0,"0,83",8.180,Medios-Altos," 0,6 ","3,9","6,7","2,5","2,7"
Morocco,"70,5",76.0,"0,68",3.414,Bajos-Medios," 36,0 ","1,3","3,2","0,8","1,1"
Mozambique,"51,1",60.0,"0,45",593,Bajos," 29,5 ","0,3","1,5","1,6","0,5"
Myanmar,"64,9",67.0,"0,58",1.573,Bajos," 53,7 ","0,5","3,3","1,9","1,0"
Namibia,"61,8",63.0,"0,65",5.942,Medios-Altos," 2,4 ","1,7","6,9","6,3","1,6"
Nepal,"66,5",70.0,"0,60",818,Bajos," 28,1 ","0,5","2,1","0,6","0,8"
Netherlands,"81,6",82.0,"0,94",55.369,Altos," 17,1 ","6,8","9,3","0,8","3,6"
New Zealand,"79,1",82.0,"0,93",39.215,Altos," 4,7 ","0,0","17,4","8,8","3,3"
Nicaragua,"66,3",74.0,"0,66",1.857,Bajos-Medios," 6,5 ","0,7","3,1","2,2","0,9"
Niger,"49,5",62.0,"0,39",552,Bajos," 22,4 ","0,1","3,1","1,3","1,0"
Nigeria,"48,9",54.0,"0,53",2.384,Bajos-Medios," 195,9 ","0,4","2,1","0,7","0,7"
Norway,"82,0",83.0,"0,96",91.608,Altos," 5,3 ","5,3","16,0","6,9","3,6"
Oman,"70,1",78.0,"0,81",15.797,Altos," 4,8 ","10,0","12,8","1,4","4,0"
Pakistan,"57,7",67.0,"0,55",1.197,Bajos-Medios," 212,2 ","0,7","1,5","0,3","0,5"
Panama,"68,0",78.0,"0,81",11.755,Medios-Altos," 4,2 ","2,2","5,1","2,5","1,8"
Papua New Guinea,"51,3",64.0,"0,55",2.398,Bajos-Medios," 8,6 ","0,4","4,0","3,4","1,1"
Paraguay,"66,9",74.0,"0,73",5.380,Bajos-Medios," 7,0 ","1,0","8,6","10,1","1,9"
Peru,"71,1",77.0,"0,77",6.440,Medios-Altos," 32,0 ","1,3","4,5","3,6","1,5"
Philippines,"64,5",71.0,"0,71",3.188,Bajos-Medios," 106,7 ","1,1","2,5","0,5","0,9"
Poland,"80,2",78.0,"0,88",16.666,Altos," 37,9 ","5,9","9,5","1,9","3,0"
Portugal,"78,6",81.0,"0,86",24.180,Altos," 10,3 ","4,3","7,7","1,3","2,9"
Qatar,"66,7",80.0,"0,85",63.990,Altos," 2,8 ","24,6","26,2","0,9","9,0"
Republic of Moldova,"73,7",72.0,"0,75",2.356,Bajos-Medios," 4,1 ","1,7","3,9","1,2","1,2"
Republic of North Macedonia,"72,5",76.0,"0,77",5.452,Medios-Altos," 2,1 ","3,1","5,1","1,5","2,0"
Réunion,,,,,," 0,9 ","0,0","6,7","0,2","2,9"
Romania,"75,0",75.0,"0,82",11.535,Medios-Altos," 19,5 ","3,0","7,3","3,2","2,3"
Russian Federation,"73,8",73.0,"0,82",11.940,Medios-Altos," 145,7 ","7,6","11,7","6,7","3,4"
Rwanda,"57,6",69.0,"0,54",845,Bajos," 12,3 ","0,1","1,4","0,4","0,5"
Saint Lucia,,76.0,"0,76",9.237,Medios-Altos," 0,2 ","2,0","3,2","0,3","1,4"
Samoa,,73.0,"0,71",3.754,Bajos-Medios," 0,2 ","0,0","4,1","1,7","1,7"
Sao Tome and Principe,"58,8",70.0,"0,62",1.297,Bajos-Medios," 0,2 ","0,0","2,2","0,8","0,8"
Saudi Arabia,"66,3",75.0,"0,85",20.829,Altos," 33,7 ","9,5","10,8","0,4","3,1"
Senegal,"58,4",68.0,"0,52",1.547,Bajos-Medios," 15,9 ","0,5","2,6","1,1","0,9"
Serbia,"75,6",76.0,"0,80",5.472,Medios-Altos," 8,8 ","3,4","6,4","1,7","1,9"
Sierra Leone,"51,7",54.0,"0,45",473,Bajos," 7,7 ","0,2","2,1","1,0","0,7"
Singapore,"69,9",83.0,"0,94",57.838,Altos," 5,8 ","7,8","9,2","0,1","3,7"
Slovakia,"79,6",77.0,"0,86",20.539,Altos," 5,5 ","5,2","9,2","2,8","3,0"
Slovenia,"81,6",81.0,"0,91",26.710,Altos," 2,1 ","5,7","9,6","2,2","3,4"
Solomon Islands,,73.0,"0,56",1.774,Bajos," 0,7 ","0,2","8,4","3,6","1,1"
Somalia,"45,6",57.0,,-,Bajos," 15,0 ","0,1","1,9","0,8","0,6"
South Africa,"63,7",,"0,71",7.440,Medios-Altos," 57,8 ","5,7","7,2","1,0","2,4"
South Sudan,"38,9",58.0,"0,43",-,Bajos-Medios," 11,0 ","0,1","3,2","1,7","1,0"
Spain,"79,5",83.0,"0,91",32.981,Altos," 46,7 ","4,3","8,1","1,5","2,8"
Sri Lanka,"68,1",77.0,"0,78",4.028,Bajos-Medios," 21,2 ","1,0","2,5","0,5","1,0"
State of Palestine,,74.0,"0,71",2.805,Bajos-Medios," 4,9 ","0,0","1,4","0,1","0,7"
Sudan,"49,5",65.0,"0,51",1.590,Bajos-Medios," 41,8 ","0,4","2,9","1,4","0,9"
Suriname,"67,0",72.0,"0,73",8.100,Medios-Altos," 0,6 ","3,0","6,6","80,4","1,9"
Sweden,"85,6",83.0,"0,94",59.068,Altos," 10,0 ","4,6","13,3","9,0","4,0"
Switzerland,"80,1",84.0,"0,96",79.173,Altos," 8,5 ","4,6","6,5","1,0","2,7"
Syrian Arab Republic,"58,0",72.0,"0,56",-,Bajos-Medios," 16,9 ","1,4","2,3","0,5","0,8"
Tajikistan,"69,8",71.0,"0,66",1.073,Bajos," 9,1 ","0,6","2,0","0,5","0,7"
"Tanzania, United Republic of","56,4",65.0,"0,52",931,Bajos," 56,3 ","0,2","2,3","1,0","0,7"
Thailand,"74,2",77.0,"0,77",6.366,Medios-Altos," 69,4 ","2,7","4,9","1,3","1,5"
Timor-Leste,,69.0,"0,60",840,Bajos-Medios," 1,3 ","0,2","1,0","1,7","0,4"
Togo,"53,2",61.0,"0,51",677,Bajos," 7,9 ","0,3","1,8","0,6","0,7"
Tonga,,71.0,"0,72",4.378,Bajos-Medios," 0,1 ","0,0","3,9","1,1","1,8"
Trinidad and Tobago,"63,5",73.0,"0,80",15.161,Altos," 1,4 ","14,1","15,3","1,5","4,7"
Tunisia,"71,4",77.0,"0,74",4.408,Medios-Altos," 11,6 ","1,9","3,5","0,7","1,3"
Turkey,"70,4",77.0,"0,82",15.181,Medios-Altos," 82,3 ","3,8","6,1","1,3","2,1"
Turkmenistan,"61,1",68.0,"0,71",7.648,Bajos-Medios," 5,9 ","8,1","10,0","2,3","3,1"
Uganda,"53,5",63.0,"0,54",934,Bajos," 42,7 ","0,2","2,1","0,5","0,7"
Ukraine,"75,5",72.0,"0,77",2.961,Bajos-Medios," 44,2 ","3,0","6,2","2,7","1,5"
United Arab Emirates,"70,2",78.0,"0,89",41.325,Altos," 9,6 ","12,4","14,7","0,5","5,1"
United Kingdom,"80,0",81.0,"0,93",42.894,Altos," 67,1 ","4,4","6,9","1,0","2,6"
United States of America,"76,0",79.0,"0,93",54.724,Altos," 327,1 ","11,0","15,9","3,4","5,1"
Uruguay,"74,5",78.0,"0,82",14.618,Medios-Altos," 3,4 ","1,2","10,6","9,3","0,8"
Uzbekistan,"69,8",72.0,"0,72",2.409,Bajos-Medios," 32,5 ","2,5","3,8","0,7","1,3"
Vanuatu,"60,5",70.0,"0,60",2.865,Bajos-Medios," 0,3 ","0,0","0,0",,
Venezuela,"59,3",72.0,"0,73",-,Medios-Altos," 28,9 ","2,7","4,7","2,8","1,5"
Viet Nam,"72,8",75.0,"0,70",1.968,Bajos-Medios," 95,5 ","2,1","4,3","0,9","1,4"
Yemen,"52,9",66.0,"0,47",633,Bajos-Medios," 28,5 ","0,3","0,8","0,4","0,3"
Zambia,"53,4",,"0,58",1.678,Bajos-Medios," 17,4 ","0,4","2,5","1,8","0,8"
Zimbabwe,"58,7",,"0,57",1.306,Bajos," 14,4 ","0,7","2,3","0,6","0,8"
