Entity,Code,Year,Fossil fuels (% equivalent primary energy),Renewables (% equivalent primary energy),Nuclear (% equivalent primary energy)
Slovakia,SVK,1971,97.1270980834961,2.8729021549224854,0
Slovakia,SVK,1972,97.13329315185547,2.861374616622925,0.00532027892768383
Slovakia,SVK,1973,97.25211334228516,2.3518409729003906,0.3960525691509247
Slovakia,SVK,1974,95.45416259765625,3.757552146911621,0.788297712802887
Slovakia,SVK,1975,96.47677612304688,3.2334024906158447,0.28981825709342957
Slovakia,SVK,1976,96.19646453857422,3.1432197093963623,0.6603118777275085
Slovakia,SVK,1977,96.27133178710938,3.566640615463257,0.16203024983406067
Slovakia,SVK,1978,96.78504180908203,3.189220905303955,0.025740105658769608
Slovakia,SVK,1979,94.5876693725586,2.5852420330047607,2.8270974159240723
Slovakia,SVK,1980,91.09431457519531,3.046743154525757,5.858943462371826
Slovakia,SVK,1981,90.62383270263672,2.6747825145721436,6.701385974884033
Slovakia,SVK,1982,89.91950988769531,2.373645544052124,7.706839561462402
Slovakia,SVK,1983,89.39529418945312,2.5121586322784424,8.092544555664062
Slovakia,SVK,1984,89.17814636230469,1.9794106483459473,8.842446327209473
Slovakia,SVK,1985,86.28034973144531,2.6119329929351807,11.107722282409668
Slovakia,SVK,1986,83.92326354980469,2.0846352577209473,13.992103576660156
Slovakia,SVK,1987,84.20248413085938,2.351402997970581,13.44611644744873
Slovakia,SVK,1988,84.54069519042969,2.125359058380127,13.333937644958496
Slovakia,SVK,1989,83.72984313964844,2.3424203395843506,13.927740097045898
Slovakia,SVK,1990,84.01012420654297,2.2383956909179688,13.751485824584961
Slovakia,SVK,1991,83.19842529296875,1.8738332986831665,14.927740097045898
Slovakia,SVK,1992,82.65096282958984,2.6797173023223877,14.669321060180664
Slovakia,SVK,1993,79.5959701538086,4.88240385055542,15.521621704101562
Slovakia,SVK,1994,76.4961166381836,6.225819110870361,17.278059005737305
Slovakia,SVK,1995,77.64817810058594,6.879693031311035,15.47211742401123
Slovakia,SVK,1996,78.96880340576172,5.9181108474731445,15.113086700439453
Slovakia,SVK,1997,79.04846954345703,5.796412944793701,15.155118942260742
Slovakia,SVK,1998,78.54719543457031,6.022058963775635,15.430747985839844
Slovakia,SVK,1999,76.12359619140625,6.261233329772949,17.615169525146484
Slovakia,SVK,2000,72.30274963378906,6.252773761749268,21.444477081298828
Slovakia,SVK,2001,71.71328735351562,6.664679050445557,21.47100257873535
Slovakia,SVK,2002,70.7733154296875,7.00519323348999,22.20787811279297
Slovakia,SVK,2003,72.82925415039062,4.494421482086182,22.666959762573242
Slovakia,SVK,2004,72.52825164794922,5.424992084503174,22.041933059692383
Slovakia,SVK,2005,72.51731872558594,5.8018388748168945,21.630645751953125
Slovakia,SVK,2006,70.9680404663086,6.194248199462891,22.622846603393555
Slovakia,SVK,2007,72.5098876953125,6.746675968170166,20.404661178588867
Slovakia,SVK,2008,72.02751922607422,6.227740287780762,21.34697723388672
Slovakia,SVK,2009,72.52391815185547,7.332043170928955,19.63431167602539
Slovakia,SVK,2010,72.51658630371094,7.976163387298584,18.9598445892334
Slovakia,SVK,2011,71.62967681884766,6.984350204467773,20.70824432373047
Slovakia,SVK,2012,69.87186431884766,8.0147066116333,21.53603744506836
Slovakia,SVK,2013,69.21148681640625,8.994414329528809,21.183250427246094
Slovakia,SVK,2014,67.03559112548828,9.85544204711914,22.23676109313965
Slovakia,SVK,2015,68.0221176147461,9.638893127441406,21.39101219177246
Slovakia,SVK,2016,68.46393585205078,9.996943473815918,20.64753532409668
Slovakia,SVK,2017,69.88617706298828,9.412672996520996,19.826814651489258
Slovakia,SVK,2018,70.8895034790039,8.504162788391113,19.722288131713867
Slovakia,SVK,2019,68.14655303955078,9.983878135681152,20.911853790283203
Slovakia,SVK,2020,67.01585388183594,10.480759620666504,21.520597457885742
Slovakia,SVK,2021,69.13302612304688,9.821160316467285,20.09200096130371
Slovenia,SVN,1990,68.38422393798828,12.690258026123047,18.925521850585938
Slovenia,SVN,1991,64.38497924804688,15.370842933654785,20.24418067932129
Slovenia,SVN,1992,67.03274536132812,15.600479125976562,17.36678123474121
Slovenia,SVN,1993,69.69656372070312,13.463438987731934,16.839998245239258
Slovenia,SVN,1994,67.4010009765625,14.16608715057373,18.43290901184082
Slovenia,SVN,1995,68.88948059082031,12.907959938049316,18.202560424804688
Slovenia,SVN,1996,69.56050109863281,13.877272605895996,16.562217712402344
Slovenia,SVN,1997,70.748291015625,11.434757232666016,17.816959381103516
Slovenia,SVN,1998,69.50555419921875,12.727214813232422,17.767236709594727
Slovenia,SVN,1999,69.14044952392578,14.0621337890625,16.797412872314453
Slovenia,SVN,2000,68.11502838134766,14.703166961669922,17.181800842285156
Slovenia,SVN,2001,68.12197875976562,13.84743881225586,18.03058624267578
Slovenia,SVN,2002,68.84264373779297,12.223347663879395,18.93401527404785
Slovenia,SVN,2003,70.7579345703125,11.17664623260498,18.0654239654541
Slovenia,SVN,2004,67.97148895263672,14.306863784790039,17.721649169921875
Slovenia,SVN,2005,68.97528839111328,12.04576301574707,18.978946685791016
Slovenia,SVN,2006,70.06112670898438,12.255212783813477,17.623878479003906
Slovenia,SVN,2007,70.53690338134766,11.193771362304688,18.08023452758789
Slovenia,SVN,2008,68.57765197753906,13.05240535736084,18.06374168395996
Slovenia,SVN,2009,65.86878967285156,15.946547508239746,17.778656005859375
Slovenia,SVN,2010,66.6871566772461,15.326107025146484,17.386363983154297
Slovenia,SVN,2011,67.1007308959961,12.851765632629395,19.554651260375977
Slovenia,SVN,2012,66.81803131103516,14.665226936340332,17.790212631225586
Slovenia,SVN,2013,64.64834594726562,17.365846633911133,17.137258529663086
Slovenia,SVN,2014,57.7014274597168,21.739604949951172,19.958301544189453
Slovenia,SVN,2015,64.18246459960938,15.851430892944336,19.505401611328125
Slovenia,SVN,2016,64.25656127929688,17.115886688232422,18.356403350830078
Slovenia,SVN,2017,64.94697570800781,14.848828315734863,19.855682373046875
Slovenia,SVN,2018,64.2165756225586,16.982707977294922,17.780479431152344
Slovenia,SVN,2019,63.46175003051758,16.781370162963867,18.384807586669922
Slovenia,SVN,2020,58.754329681396484,19.160215377807617,20.68890380859375
Slovenia,SVN,2021,60.51614761352539,18.76845359802246,19.105480194091797
South Africa,ZAF,1965,99.9691162109375,0.0308864526450634,0
South Africa,ZAF,1966,99.97013092041016,0.029866168275475502,0
South Africa,ZAF,1967,99.97927856445312,0.020714174956083298,0
South Africa,ZAF,1968,99.98187255859375,0.018117520958185196,0
South Africa,ZAF,1969,99.9845962524414,0.01539657637476921,0
South Africa,ZAF,1970,99.98246765136719,0.017539408057928085,0
South Africa,ZAF,1971,99.92704772949219,0.07294350117444992,0
South Africa,ZAF,1972,99.47420501708984,0.525794267654419,0
South Africa,ZAF,1973,99.42279815673828,0.5772110223770142,0
South Africa,ZAF,1974,99.35516357421875,0.6448366045951843,0
South Africa,ZAF,1975,99.40155029296875,0.5984427332878113,0
South Africa,ZAF,1976,99.03960418701172,0.9604041576385498,0
South Africa,ZAF,1977,99.02860260009766,0.971405029296875,0
South Africa,ZAF,1978,99.03773498535156,0.9622714519500732,0
South Africa,ZAF,1979,99.4409408569336,0.5590492486953735,0
South Africa,ZAF,1980,99.54583740234375,0.4541718363761902,0
South Africa,ZAF,1981,99.34994506835938,0.650050938129425,0
South Africa,ZAF,1982,99.62850189208984,0.3714905083179474,0
South Africa,ZAF,1983,99.7853012084961,0.2147051990032196,0
South Africa,ZAF,1984,98.57142639160156,0.18491055071353912,1.2436600923538208
South Africa,ZAF,1985,98.14920806884766,0.2017548531293869,1.649039387702942
South Africa,ZAF,1986,96.80392456054688,0.5151001214981079,2.68097186088562
South Africa,ZAF,1987,97.6458969116211,0.5051980018615723,1.8489025831222534
South Africa,ZAF,1988,96.24636840820312,0.8970548510551453,2.856572389602661
South Africa,ZAF,1989,96.01776885986328,0.8193387389183044,3.1628899574279785
South Africa,ZAF,1990,97.3816146850586,0.2900504469871521,2.3283371925354004
South Africa,ZAF,1991,96.88909912109375,0.5727413892745972,2.538154363632202
South Africa,ZAF,1992,97.2173843383789,0.21651150286197662,2.566101312637329
South Africa,ZAF,1993,97.94999694824219,0.042108479887247086,2.007901430130005
South Africa,ZAF,1994,97.12981414794922,0.2969961166381836,2.573192596435547
South Africa,ZAF,1995,96.99056243896484,0.13997532427310944,2.8694663047790527
South Africa,ZAF,1996,96.70952606201172,0.35900458693504333,2.931464672088623
South Africa,ZAF,1997,96.35035705566406,0.5707284212112427,3.078913450241089
South Africa,ZAF,1998,96.15321350097656,0.4763036072254181,3.3704962730407715
South Africa,ZAF,1999,96.68840789794922,0.23447948694229126,3.0771148204803467
South Africa,ZAF,2000,96.48016357421875,0.4055584669113159,3.1142733097076416
South Africa,ZAF,2001,96.92362976074219,0.5403345227241516,2.536038398742676
South Africa,ZAF,2002,96.41168212890625,0.6535402536392212,2.8925070762634277
South Africa,ZAF,2003,96.85659790039062,0.2989763021469116,2.801403522491455
South Africa,ZAF,2004,96.96744537353516,0.2939848303794861,2.6921820640563965
South Africa,ZAF,2005,97.18932342529297,0.4043339192867279,2.387650489807129
South Africa,ZAF,2006,97.20418548583984,0.7259401679039001,2.064413547515869
