id,pais,continente,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
LVA,Latvia,Europe,8.93,9.1,8.56,8.62,8.89,8.84,8.92,9.0,9.2,-1.31,-2.46,-1.68,-1.36,-1.79,-2.33,-2.5,-2.59,-2.74,-2.78,-2.13
ALB,Albania,Europe,8.77,9.22,9.42,8.85,8.38,8.52,8.09,8.04,8.49,7.78,7.52,7.48,7.75,7.73,7.83,8.05,7.97,7.63,7.0,8.4
TGO,Togo,Africa,8.71,8.43,8.09,8.21,7.92,7.17,7.43,7.54,7.99,7.51,7.68,6.19,5.86,6.17,6.75,5.85,6.13,5.52,5.07,7.12
CRI,Costa Rica,North America,8.48,8.48,8.2,8.0,7.08,7.18,7.18,6.68,6.69,12.8,12.69,13.12,12.98,11.57,11.24,10.71,10.7,10.33,10.32,12.93
CYP,Cyprus,Asia,8.29,8.31,8.49,8.35,7.9,7.82,7.42,8.13,8.64,8.95,9.27,9.45,9.23,8.9,8.76,8.65,8.71,8.04,7.81,8.09
BDI,Burundi,Africa,8.04,8.35,8.11,7.5,2.21,2.18,2.2,1.79,1.71,6.43,6.08,5.94,5.81,5.74,5.59,5.52,5.47,5.48,5.49,7.61
RWA,Rwanda,Africa,7.0,6.91,6.8,6.74,6.83,6.18,6.15,6.0,5.87,6.87,6.62,6.51,6.33,6.12,5.85,5.74,5.61,5.41,5.31,5.38
BLZ,Belize,North America,6.85,6.74,6.81,6.75,6.99,6.76,6.87,6.89,7.22,4.57,5.41,4.38,4.42,4.23,4.19,4.06,4.47,4.24,4.13,7.39
MUS,Mauritius,Africa,6.83,6.72,6.7,6.51,6.38,6.33,6.13,6.0,5.84,5.87,5.6,5.6,5.49,5.35,4.92,4.74,4.71,4.52,4.5,4.29
ERI,Eritrea,Africa,6.78,6.72,6.54,6.46,6.31,6.27,6.22,6.15,6.06,5.85,5.94,5.89,5.95,5.62,5.86,5.84,5.83,5.68,5.73,6.01
TLS,Timor-Leste,,6.38,6.56,6.81,7.1,7.27,7.32,7.35,7.38,7.39,7.5,7.2,6.88,6.51,6.22,5.87,4.88,4.09,3.24,2.18,1.12
GNB,Guinea-Bissau,Africa,4.21,4.18,4.09,4.12,4.34,4.1,4.0,4.24,3.82,3.9,3.76,3.69,3.93,3.93,3.64,3.69,3.68,3.59,3.45,3.28
MNE,Montenegro,Europe,3.86,3.77,3.57,3.43,3.65,3.54,3.64,3.78,4.02,0.0,-0.72,0.36,-0.08,0.13,0.08,0.28,0.27,0.14,0.04,3.68
BRB,Barbados,North America,3.79,3.76,3.69,3.78,3.74,3.73,3.89,4.55,4.17,3.94,7.0,4.15,3.84,3.81,3.75,3.71,3.72,3.7,3.65,3.59
BHS,Bahamas,North America,3.18,3.13,2.57,2.39,2.53,2.83,3.17,3.85,2.92,2.37,6.47,2.52,2.38,2.37,2.38,2.54,2.6,2.63,2.44,2.56
GMB,Gambia,Africa,2.86,2.66,2.8,2.77,2.88,2.72,2.58,2.51,2.43,2.74,2.7,2.34,2.2,2.14,2.06,2.19,2.28,2.38,2.6,3.13
ISL,Iceland,Europe,2.77,2.83,2.81,2.75,3.23,3.18,3.11,2.95,2.96,3.21,3.33,3.66,3.77,3.76,3.29,3.33,3.26,3.29,3.23,3.39
SWZ,Eswatini,Africa,2.69,2.55,2.51,2.43,2.34,2.36,2.36,2.28,2.24,2.23,2.2,2.26,2.39,2.2,2.31,2.26,2.24,2.13,2.07,2.29
MDV,Maldives,Asia,2.6,2.54,2.25,2.1,1.66,1.63,1.37,1.36,1.2,1.12,1.07,1.01,1.0,1.0,0.83,0.85,0.63,0.71,0.58,0.55
LSO,Lesotho,Africa,2.53,2.53,2.52,2.36,2.34,2.3,2.32,2.44,2.38,2.31,2.3,2.21,2.27,2.2,2.26,2.09,2.15,2.09,2.27,2.29
GRD,Grenada,North America,2.39,2.37,2.33,2.31,2.29,2.26,2.32,2.4,2.29,2.26,2.76,2.24,2.21,2.19,2.16,2.14,2.15,2.13,2.1,2.07
MLT,Malta,Europe,2.13,2.04,2.02,1.88,2.18,2.86,2.84,3.17,2.99,3.0,2.9,3.09,3.15,3.06,2.98,2.93,2.92,2.62,2.78,2.41
DJI,Djibouti,Africa,1.38,1.36,1.36,1.36,1.4,1.33,1.48,1.41,1.38,1.41,1.36,1.36,1.35,1.31,1.31,1.27,1.28,1.26,1.23,1.22
ATG,Antigua and Barbuda,North America,1.22,1.19,1.15,1.12,1.09,1.06,1.05,1.26,1.09,1.03,1.92,0.96,0.91,0.85,0.78,0.75,0.74,0.7,0.64,0.6
VUT,Vanuatu,Oceania,0.87,0.86,0.82,0.82,0.77,0.79,0.73,0.73,0.73,0.71,0.69,0.7,0.7,0.58,0.57,0.56,0.57,0.55,0.55,0.57
WSM,Samoa,Oceania,0.79,0.78,0.79,0.78,0.71,0.67,0.65,0.64,0.64,0.62,0.59,0.58,0.61,0.61,0.62,0.6,0.58,0.58,0.57,0.54
SYC,Seychelles,Africa,0.78,0.74,0.73,0.72,0.65,0.6,0.54,0.55,0.53,0.56,0.56,0.52,0.51,0.49,0.48,0.48,0.44,0.44,0.41,0.38
CPV,Cape Verde,Africa,0.75,0.71,0.68,0.66,0.61,0.61,0.61,0.63,0.66,0.67,0.64,0.59,0.57,0.61,0.55,0.45,0.41,0.38,0.34,-0.14
LCA,Saint Lucia,North America,0.74,0.72,0.72,0.69,0.68,0.68,0.67,0.91,0.74,0.71,1.53,0.65,0.64,0.63,0.59,0.59,0.58,0.57,0.56,0.51
COM,Comoros,Africa,0.7,0.68,0.65,0.58,0.54,0.52,0.53,0.5,0.48,0.48,0.44,0.41,0.38,0.46,0.45,0.42,0.41,0.39,0.38,0.36
AND,Andorra,Europe,0.63,0.62,0.59,0.59,0.58,0.57,0.59,0.6,0.6,0.63,0.62,0.64,0.64,0.64,0.66,0.64,0.61,0.6,0.59,0.59
STP,Sao Tome and Principe,Africa,0.4,0.39,0.39,0.38,0.37,0.37,0.37,0.36,0.34,0.14,0.13,0.12,0.11,0.11,0.11,0.1,0.1,0.09,0.08,0.08
BTN,Bhutan,Asia,0.36,0.37,0.3,0.26,0.11,0.06,0.03,0.06,-0.04,-5.49,-5.61,-5.68,-5.51,-5.58,-5.57,-5.68,-5.73,-5.74,-5.75,-5.7
KNA,Saint Kitts and Nevis,North America,0.35,0.35,0.34,0.34,0.33,0.32,0.32,0.43,0.38,0.34,0.8,0.34,0.34,0.32,0.31,0.32,0.31,0.32,0.29,0.28
VCT,Saint Vincent and the Grenadines,North America,0.34,0.34,0.31,0.34,0.33,0.35,0.31,0.44,0.35,0.33,0.97,0.34,0.35,0.33,0.33,0.32,0.31,0.31,0.28,0.2
TON,Tonga,Oceania,0.31,0.31,0.33,0.3,0.26,0.26,0.26,0.25,0.25,0.26,0.28,0.26,0.26,0.28,0.27,0.26,0.26,0.23,0.23,0.23
PLW,Palau,Oceania,0.29,0.28,0.29,0.28,0.23,0.24,0.25,0.24,0.23,0.23,0.22,0.23,0.26,0.27,0.28,0.25,0.23,0.24,0.23,0.23
FSM,Micronesia,Oceania,0.23,0.22,0.22,0.22,0.2,0.19,0.18,0.17,0.16,0.15,0.17,0.16,0.18,0.18,0.2,0.2,0.19,0.18,0.19,0.17
MHL,Marshall Islands,Oceania,0.23,0.23,0.23,0.22,0.19,0.19,0.18,0.18,0.18,0.18,0.17,0.17,0.18,0.17,0.17,0.16,0.15,0.15,0.14,0.13
DMA,Dominica,North America,0.22,0.22,0.22,0.23,0.24,0.24,0.23,0.31,0.24,0.24,0.56,0.24,0.24,0.22,0.21,0.2,0.19,0.17,0.21,0.25
LIE,Liechtenstein,Europe,0.16,0.16,0.17,0.16,0.17,0.18,0.21,0.2,0.19,0.23,0.25,0.26,0.24,0.27,0.27,0.27,0.27,0.26,0.25,0.25
KIR,Kiribati,Oceania,0.12,0.12,0.12,0.1,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.09,0.08,0.1,0.09,0.07,0.07,0.06,0.05,0.05
COK,Cook Islands,Oceania,0.1,0.1,0.1,0.09,0.08,0.09,0.09,0.09,0.09,0.08,0.07,0.08,0.08,0.08,0.08,0.07,0.06,0.06,0.06,0.05
NRU,Nauru,Oceania,0.07,0.07,0.07,0.07,0.06,0.06,0.05,0.05,0.04,0.05,0.05,0.05,0.05,0.05,0.08,0.07,0.07,0.08,0.09,0.09
TUV,Tuvalu,Oceania,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02
NIU,Niue,Oceania,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
FJI,Fiji,Oceania,-0.16,-0.24,-0.22,-0.41,-0.54,-0.66,-0.25,-0.37,-0.29,-0.24,-0.41,-0.41,-0.14,-0.03,-0.12,0.07,-0.38,-0.5,-0.33,-0.59
