id,pais,continente,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
KAZ,Kazakhstan,Asia,271.68,275.56,276.98,256.53,240.36,258.97,307.67,293.4,295.59,289.06,269.68,298.68,252.1,240.32,221.29,207.53,191.19,180.86,154.41,156.18
COL,Colombia,South America,270.53,265.37,256.46,261.48,232.02,231.15,227.54,220.55,221.67,241.74,236.79,233.16,232.47,227.02,225.83,224.14,222.3,220.54,222.44,232.98
ARE,United Arab Emirates,Asia,243.55,229.38,248.69,252.92,245.22,231.8,230.89,219.59,207.49,201.89,194.38,194.02,168.25,157.12,150.1,141.21,133.42,125.4,123.08,109.02
MMR,Myanmar,Asia,242.95,240.11,234.67,221.94,228.5,222.16,214.56,212.03,203.37,232.86,227.87,217.73,230.63,221.37,216.65,225.23,212.15,200.54,201.76,222.35
BGD,Bangladesh,Asia,237.7,229.78,224.83,215.72,214.1,203.97,199.0,194.92,191.01,185.71,177.67,173.48,164.71,161.72,155.64,150.67,148.74,146.8,143.29,137.75
PHL,Philippines,Asia,236.79,229.42,223.54,207.41,194.8,185.86,178.26,167.31,162.25,160.48,154.88,152.18,148.95,143.02,149.78,148.7,145.27,142.02,140.35,141.19
UKR,Ukraine,Europe,221.29,232.76,221.2,247.28,233.56,282.98,317.11,321.75,329.07,303.06,283.1,338.19,349.31,340.19,333.05,346.11,372.22,347.4,342.82,317.3
PER,Peru,South America,190.66,187.8,187.47,189.98,186.12,184.4,180.65,178.76,178.45,150.21,145.51,141.38,136.45,132.47,133.05,131.45,127.39,127.46,125.53,122.42
UZB,Uzbekistan,Asia,185.39,180.45,172.94,167.53,157.91,162.99,170.72,171.9,187.16,175.52,163.64,176.45,167.15,171.71,160.98,166.14,162.44,170.57,164.22,172.29
ETH,Ethiopia,Africa,183.37,180.95,179.26,175.56,169.34,166.06,159.85,155.63,150.03,149.91,144.76,140.64,136.8,126.79,121.97,118.47,116.34,117.9,108.39,102.14
NLD,Netherlands,Europe,173.59,178.62,184.71,188.71,187.82,179.56,186.76,187.09,188.71,201.63,190.97,196.04,198.71,199.22,203.87,209.65,207.92,207.98,208.19,207.4
TKM,Turkmenistan,Asia,157.33,154.97,152.51,152.94,155.08,151.33,151.15,144.42,136.68,116.62,104.87,131.74,126.4,117.37,115.59,112.66,105.86,93.87,89.5,88.76
TZA,Tanzania,Africa,154.89,151.98,152.72,153.6,142.55,136.29,135.57,133.67,129.05,127.25,124.18,122.02,119.4,117.28,122.53,116.56,117.4,109.07,103.58,98.85
BOL,Bolivia,South America,138.72,129.59,129.2,130.37,119.65,116.72,115.92,115.3,114.44,125.46,103.65,105.2,109.88,104.81,102.69,106.63,93.95,96.39,90.52,111.04
KWT,Kuwait,Asia,136.69,133.83,131.1,131.71,125.97,121.1,121.86,117.62,113.05,107.34,103.17,102.91,95.99,97.97,94.33,85.07,79.91,74.77,72.9,69.81
AGO,Angola,Africa,128.29,120.1,131.15,133.52,135.83,129.91,128.1,125.68,126.65,126.96,122.45,119.98,117.2,112.77,114.87,114.61,111.59,105.16,101.52,81.34
SDN,Sudan,Africa,127.07,127.26,126.52,127.12,124.4,121.05,119.96,119.76,118.69,115.74,117.75,116.03,115.79,110.36,111.04,106.17,103.12,100.73,95.62,107.36
LBY,Libya,Africa,126.69,121.57,112.27,90.21,90.01,97.29,114.94,132.61,75.58,137.33,130.08,133.12,128.21,131.68,129.42,119.42,114.61,105.88,106.86,110.66
CMR,Cameroon,Africa,124.79,124.2,123.47,123.63,122.13,120.69,119.88,118.11,117.84,126.0,125.44,125.57,125.17,124.49,126.91,124.41,127.33,124.44,124.45,138.76
ZWE,Zimbabwe,Africa,117.96,118.22,115.59,115.92,42.3,40.39,42.17,42.29,42.18,39.54,36.77,35.8,37.74,37.2,38.27,37.54,37.46,39.91,42.67,41.58
QAT,Qatar,Asia,114.76,109.18,110.06,109.37,106.79,103.59,98.53,96.61,88.22,78.53,69.56,67.81,63.23,55.81,49.7,48.26,44.95,41.4,37.54,38.0
CZE,Czech Republic,Europe,110.77,115.4,116.77,117.17,116.83,114.51,117.91,123.67,126.35,125.8,124.37,131.99,137.03,134.07,133.07,136.14,135.6,131.25,136.86,134.66
BEL,Belgium,Europe,108.22,109.22,108.47,110.54,109.06,104.15,110.53,109.55,110.77,121.73,114.16,121.13,118.87,123.54,126.54,130.29,131.74,128.35,135.68,134.25
MOZ,Mozambique,Africa,106.74,111.15,106.73,108.02,97.3,98.99,99.31,97.64,93.08,103.31,94.75,100.17,95.13,94.09,95.34,90.53,91.33,86.37,86.29,68.88
TCD,Chad,Africa,105.68,103.21,98.71,97.2,95.01,89.57,86.98,85.0,81.2,69.51,65.41,64.78,64.0,61.49,59.88,58.06,54.46,54.85,50.59,46.59
OMN,Oman,Asia,100.28,99.54,94.41,94.74,91.48,87.04,83.47,79.52,71.3,63.88,59.53,56.6,57.0,54.05,45.58,45.46,46.15,44.19,42.41,38.55
ECU,Ecuador,South America,98.7,98.83,97.66,98.96,91.16,92.63,90.98,87.93,88.04,99.41,95.84,92.32,90.6,90.92,88.43,86.67,82.56,81.42,81.76,84.69
PRY,Paraguay,South America,96.6,94.62,96.46,93.51,114.67,114.27,112.43,110.84,109.62,96.54,94.06,92.02,93.92,90.67,90.51,89.16,91.31,89.59,89.37,73.27
ZMB,Zambia,Africa,91.36,90.12,90.9,90.8,91.79,86.78,86.31,85.15,81.37,67.22,61.07,64.46,62.14,59.54,64.21,61.63,61.12,55.45,52.28,46.59
MAR,Morocco,Africa,91.15,84.87,83.05,78.33,80.02,77.8,76.6,76.11,74.31,66.26,62.83,62.8,60.32,59.57,57.6,54.59,49.98,50.0,48.47,44.56
ISR,Israel,Asia,87.26,84.85,88.56,87.03,87.19,85.24,87.08,95.54,89.04,89.28,83.81,84.34,83.66,80.5,76.22,77.58,76.47,75.66,73.68,73.82
PRK,North Korea,Asia,82.69,76.86,80.47,55.35,50.21,56.61,52.46,63.26,61.65,74.37,77.54,94.1,85.96,98.63,96.52,93.21,90.98,89.14,92.1,93.67
GRC,Greece,Europe,79.91,85.45,88.18,88.57,89.85,91.59,94.67,102.34,107.33,107.16,113.88,120.66,124.63,121.1,122.76,120.67,121.03,117.7,117.31,116.94
ROU,Romania,Europe,78.36,79.91,79.25,76.46,-184.27,-186.55,-185.86,-176.58,-174.27,103.54,106.4,122.18,124.2,126.55,122.97,123.55,125.19,120.27,123.19,121.63
KEN,Kenya,Africa,73.4,61.08,60.57,64.02,74.24,71.99,69.39,67.86,68.94,73.86,72.47,72.27,71.18,54.64,54.4,54.04,51.42,50.47,49.57,30.86
NZL,New Zealand,Oceania,72.59,71.19,71.83,70.2,65.47,65.61,65.09,65.46,62.91,57.23,57.42,60.23,60.39,61.5,61.33,59.85,61.2,58.71,57.06,51.3
KHM,Cambodia,Asia,71.77,70.41,69.86,67.5,100.83,98.65,98.19,98.06,99.81,35.74,36.69,35.17,35.34,34.34,30.9,32.48,31.67,29.25,26.9,26.37
AUT,Austria,Europe,69.8,68.32,71.53,69.6,69.27,68.08,71.8,71.26,74.46,77.34,71.55,78.46,78.89,81.93,84.19,84.11,83.28,78.17,76.84,65.18
SGP,Singapore,Asia,67.26,66.56,67.59,63.81,62.33,60.61,59.45,58.56,58.96,55.9,52.16,51.62,51.33,50.07,49.63,52.36,50.88,54.0,54.74,54.82
BLR,Belarus,Europe,65.33,66.75,63.93,62.55,68.34,72.93,73.72,73.25,71.69,65.99,61.37,64.35,60.22,61.51,58.28,57.44,53.62,52.53,53.02,46.39
PNG,Papua New Guinea,Oceania,63.47,63.62,63.11,63.03,62.33,59.67,58.1,56.92,56.23,48.18,48.18,48.09,48.96,49.16,49.4,50.57,49.11,49.12,48.32,48.4
HUN,Hungary,Europe,62.48,62.9,62.81,60.78,59.82,56.89,56.59,58.95,62.83,64.51,64.55,70.39,71.77,73.95,74.66,75.35,76.52,73.79,75.44,72.54
SRB,Serbia,Europe,61.86,61.5,63.27,62.87,58.66,52.34,60.35,59.63,64.48,27.4,27.87,30.33,32.57,33.63,31.42,37.96,32.73,29.52,26.16,57.71
PRT,Portugal,Europe,61.7,66.75,71.85,66.88,66.72,62.61,63.02,64.7,66.4,68.68,74.08,74.87,77.13,78.52,83.78,80.7,78.82,83.66,78.64,80.24
SSD,South Sudan,Africa,60.33,67.14,64.25,66.77,63.08,62.57,60.64,59.76,74.6,78.26,79.04,76.95,75.93,71.94,72.94,69.63,67.14,64.26,60.36,65.31
