pais,codigo,continente,indice objetivos desarrollo sostenible,expectativa vida,indice desarrollo humano,pib per capita,grupo ingresos,poblacion,huella carbono,huella ecologica,biocapacidad,tierra,Idpais,Idcontinente
Bahrain,BHR,Asia,66.1,77.0,0.85,21.478,Altos, 1.6 ,14.1,15.5,0.5,5.2,6ddecd8ccd9f648d19dc02c7a566cb4f,154a67340e8c14dd5253dc4ff6120197
Bangladesh,BGD,Asia,63.5,72.0,0.63,1.202,Bajos, 161.4 ,0.5,1.5,0.4,0.6,f78a77f631d275aac6a914a17fe1b885,154a67340e8c14dd5253dc4ff6120197
Barbados,BRB,North America,68.4,79.0,0.81,16.137,Altos, 0.3 ,4.3,5.9,0.2,2.5,3214c0f21d200a1dae4eb83a53ec2730,5ffec2d87ab548202f8b549af380913a
Belarus,BLR,Europe,78.8,74.0,0.82,6.608,Medios-Altos, 9.5 ,4.4,9.5,2.9,2.8,6542f875eaa09a5c550e5f3986400ad9,912d59cdf1d3f551fae21f6f0062258f
Belgium,BEL,Europe,82.2,82.0,0.93,46.768,Altos, 11.5 ,7.5,10.5,0.8,4.3,6c1674d14bf5f95742f572cddb0641a7,912d59cdf1d3f551fae21f6f0062258f
Belize,BLZ,North America,64.4,74.0,0.71,4.217,Medios-Altos, 0.4 ,2.0,14.4,3.5,5.0,20bca6785240fa722edb5c85d055a93d,5ffec2d87ab548202f8b549af380913a
Benin,BEN,Africa,49.9,61.0,0.54,1.211,Bajos, 11.5 ,0.6,2.8,0.9,1.0,9e7002d53d4db7bfad4f5cf419b0c126,f5cd262901883dff68d06b215fb0f28e
Bhutan,BTN,Asia,70.0,71.0,0.65,3.129,Bajos-Medios, 0.8 ,2.0,9.4,5.0,3.3,e65a0ed0e39dd14a9e5af441efb09b37,154a67340e8c14dd5253dc4ff6120197
Bolivia,BOL,South America,67.6,71.0,0.71,2.560,Bajos-Medios, 11.4 ,1.4,6.3,14.2,2.0,28aaafc355915903ce4a7e1d3af3bc4e,aab422acb3d2334a6deca0e1495745c2
Bosnia and Herzegovina,BIH,Europe,73.7,77.0,0.78,6.097,Medios-Altos, 3.3 ,4.4,7.8,2.0,2.5,96a6dd711874d4323dc2d3f932bd2ed3,912d59cdf1d3f551fae21f6f0062258f
Botswana,BWA,Africa,61.9,69.0,0.73,8.033,Medios-Altos, 2.3 ,2.8,4.3,3.3,1.5,6cd50fb3091b0a9d3c1ac2cf52441390,f5cd262901883dff68d06b215fb0f28e
Brazil,BRA,South America,71.3,76.0,0.76,11.076,Medios-Altos, 209.5 ,1.4,6.2,8.6,1.6,42537f0fb56e31e20ab9c2305752087d,aab422acb3d2334a6deca0e1495745c2
Brunei Darussalam,BRN,Asia,68.3,76.0,0.84,31.437,Altos, 0.4 ,9.7,11.6,2.7,3.4,35564072d637a7b63c6f1547175b1766,154a67340e8c14dd5253dc4ff6120197
Bulgaria,BGR,Europe,73.8,75.0,0.81,8.642,Medios-Altos, 7.1 ,4.2,8.2,3.3,2.3,01a151debf2bfee8906f43f4342eb10b,912d59cdf1d3f551fae21f6f0062258f
Burkina Faso,BFA,Africa,53.5,61.0,0.44,800,Bajos, 19.8 ,0.3,2.4,1.0,0.8,28814f84db09b59b95f863b9c143c3a9,f5cd262901883dff68d06b215fb0f28e
Burundi,BDI,Africa,51.8,61.0,0.43,211,Bajos, 11.2 ,0.1,1.6,0.5,0.5,28765464efe1b6583610335965b4d75a,f5cd262901883dff68d06b215fb0f28e
Cabo Verde,CPV,Africa,68.1,73.0,0.66,3.740,Bajos-Medios, 0.5 ,0.0,3.4,0.5,1.2,6764a88bc22b8239d23d159043c6b806,f5cd262901883dff68d06b215fb0f28e
Cambodia,KHM,Asia,64.5,70.0,0.59,1.203,Bajos, 16.2 ,0.0,2.8,1.2,0.9,06c7a3c3a3344a62864b951aec4df830,154a67340e8c14dd5253dc4ff6120197
Cameroon,CMR,Africa,55.3,59.0,0.56,1.502,Bajos-Medios, 25.2 ,0.3,2.3,1.6,0.8,4be25f9d27da71d4e98775668b5b12af,f5cd262901883dff68d06b215fb0f28e
Canada,CAN,North America,79.2,82.0,0.93,51.518,Altos, 37.1 ,10.7,19.8,14.7,5.1,445d337b5cd5de476f99333df6b0c2a7,5ffec2d87ab548202f8b549af380913a
Central African Republic,CAF,Africa,38.3,53.0,0.40,379,Bajos, 4.7 ,0.1,2.4,7.5,0.8,aa293d284f52b08da5ba7fe7792fe9c3,f5cd262901883dff68d06b215fb0f28e
Chad,TCD,Africa,40.9,54.0,0.40,812,Bajos, 15.5 ,0.1,3.3,1.7,1.0,e03653dedd6f4e142f4aca131995964f,f5cd262901883dff68d06b215fb0f28e
Chile,CHL,South America,77.1,80.0,0.85,15.110,Medios-Altos, 18.7 ,3.6,9.0,3.3,2.7,2e6507f70a9cc26fb50f5fd82a83c7ef,aab422acb3d2334a6deca0e1495745c2
China,CHN,Asia,72.1,77.0,0.76,7.469,Medios-Altos, 1.459.4 ,5.3,7.2,0.9,2.4,ae54a5c026f31ada088992587d92cb3a,154a67340e8c14dd5253dc4ff6120197
Colombia,COL,South America,70.6,77.0,0.76,7.692,Medios-Altos, 49.7 ,1.2,3.4,3.4,1.2,ef3388cc5659bccb742fb8af762f1bfd,aab422acb3d2334a6deca0e1495745c2
Comoros,COM,Africa,,64.0,0.55,1.403,Bajos, 0.8 ,0.0,2.1,0.4,0.8,4234d1794dd33c1b6ed975eab5148040,f5cd262901883dff68d06b215fb0f28e
Congo,COG,Africa,52.9,64.0,0.57,2.304,Bajos-Medios, 5.2 ,0.4,2.0,8.8,0.6,e496c53293c4103dc7ef0820eee96954,f5cd262901883dff68d06b215fb0f28e
Costa Rica,CRI,North America,73.6,80.0,0.81,9.937,Medios-Altos, 5.0 ,1.6,4.2,1.5,1.5,5882b568d8a010ef48a6896f53b6eddb,5ffec2d87ab548202f8b549af380913a
Côte d'Ivoire,CIV,Africa,57.6,57.0,0.53,1.668,Bajos-Medios, 25.1 ,0.4,3.0,1.8,0.9,04b9348054f102f0170ede9e58ef0a88,f5cd262901883dff68d06b215fb0f28e
Croatia,HRV,Europe,80.4,78.0,0.85,15.708,Altos, 4.2 ,3.7,7.0,2.8,2.5,560d4c6ff431c86546f3fcec72c748c7,912d59cdf1d3f551fae21f6f0062258f
Cuba,CUB,North America,73.7,79.0,0.78,6.817,Medios-Altos, 11.3 ,1.8,3.0,0.8,1.1,33cac763789c407f405b2cf0dce7df89,5ffec2d87ab548202f8b549af380913a
Cyprus,CYP,Asia,74.9,81.0,0.89,23.395,Altos, 1.2 ,0.0,5.9,0.2,2.4,ea2ba3f8011e19e3101ce65fdcefbcc4,154a67340e8c14dd5253dc4ff6120197
Czech Republic,CZE,Europe,81.4,79.0,0.90,23.721,Altos, 10.7 ,6.8,11.7,2.3,3.6,51802d8bb965d0e5be697f07d16922e8,912d59cdf1d3f551fae21f6f0062258f
Denmark,DNK,Europe,84.9,81.0,0.94,64.672,Altos, 5.8 ,5.4,11.0,3.6,4.2,424214945ba5615eca039bfe5d731c09,912d59cdf1d3f551fae21f6f0062258f
