anio,pais,combustible,continente,Idanio,Idpais,Idcombustible,Idcontinente
1964,Burkina Faso,None,None,39dcaf7a053dc372fbc391d4e6b5d693,28814f84db09b59b95f863b9c143c3a9,6adf97f83acf6453d4a6a4b1070f3754,6adf97f83acf6453d4a6a4b1070f3754
1965,Burundi,None,None,d46e1fcf4c07ce4a69ee07e4134bcef1,28765464efe1b6583610335965b4d75a,6adf97f83acf6453d4a6a4b1070f3754,6adf97f83acf6453d4a6a4b1070f3754
1966,Cabo Verde,None,None,3683af9d6f6c06acee72992f2977f67e,6764a88bc22b8239d23d159043c6b806,6adf97f83acf6453d4a6a4b1070f3754,6adf97f83acf6453d4a6a4b1070f3754
1967,Cambodia,None,None,a82d922b133be19c1171534e6594f754,06c7a3c3a3344a62864b951aec4df830,6adf97f83acf6453d4a6a4b1070f3754,6adf97f83acf6453d4a6a4b1070f3754
1968,Cameroon,None,None,98c7242894844ecd6ec94af67ac8247d,4be25f9d27da71d4e98775668b5b12af,6adf97f83acf6453d4a6a4b1070f3754,6adf97f83acf6453d4a6a4b1070f3754
1969,Canada,None,None,4d8556695c262ab91ff51a943fdd6058,445d337b5cd5de476f99333df6b0c2a7,6adf97f83acf6453d4a6a4b1070f3754,6adf97f83acf6453d4a6a4b1070f3754
1970,Cayman Islands,None,None,0004d0b59e19461ff126e3a08a814c33,6802039d41676bdd09823704b0b9ba92,6adf97f83acf6453d4a6a4b1070f3754,6adf97f83acf6453d4a6a4b1070f3754
1971,Central African Republic,None,None,de73998802680548b916f1947ffbad76,aa293d284f52b08da5ba7fe7792fe9c3,6adf97f83acf6453d4a6a4b1070f3754,6adf97f83acf6453d4a6a4b1070f3754
1972,Chad,None,None,c4de8ced6214345614d33fb0b16a8acd,e03653dedd6f4e142f4aca131995964f,6adf97f83acf6453d4a6a4b1070f3754,6adf97f83acf6453d4a6a4b1070f3754
1973,Chile,None,None,deb54ffb41e085fd7f69a75b6359c989,2e6507f70a9cc26fb50f5fd82a83c7ef,6adf97f83acf6453d4a6a4b1070f3754,6adf97f83acf6453d4a6a4b1070f3754
1974,China,None,None,3d863b367aa379f71c7afc0c9cdca41d,ae54a5c026f31ada088992587d92cb3a,6adf97f83acf6453d4a6a4b1070f3754,6adf97f83acf6453d4a6a4b1070f3754
1975,Colombia,None,None,7d2b92b6726c241134dae6cd3fb8c182,ef3388cc5659bccb742fb8af762f1bfd,6adf97f83acf6453d4a6a4b1070f3754,6adf97f83acf6453d4a6a4b1070f3754
1976,Comoros,None,None,dd055f53a45702fe05e449c30ac80df9,4234d1794dd33c1b6ed975eab5148040,6adf97f83acf6453d4a6a4b1070f3754,6adf97f83acf6453d4a6a4b1070f3754
1977,Cook Islands,None,None,4afd521d77158e02aed37e2274b90c9c,4cddaf95370d849a891c1c6eb5c63243,6adf97f83acf6453d4a6a4b1070f3754,6adf97f83acf6453d4a6a4b1070f3754
1978,Costa Rica,None,None,405e28906322882c5be9b4b27f4c35fd,5882b568d8a010ef48a6896f53b6eddb,6adf97f83acf6453d4a6a4b1070f3754,6adf97f83acf6453d4a6a4b1070f3754
1979,Croatia,None,None,798cebccb32617ad94123450fd137104,560d4c6ff431c86546f3fcec72c748c7,6adf97f83acf6453d4a6a4b1070f3754,6adf97f83acf6453d4a6a4b1070f3754
1980,Cuba,None,None,f80bf05527157a8c2a7bb63b22f49aaa,33cac763789c407f405b2cf0dce7df89,6adf97f83acf6453d4a6a4b1070f3754,6adf97f83acf6453d4a6a4b1070f3754
1981,Cyprus,None,None,b3b4d2dbedc99fe843fd3dedb02f086f,ea2ba3f8011e19e3101ce65fdcefbcc4,6adf97f83acf6453d4a6a4b1070f3754,6adf97f83acf6453d4a6a4b1070f3754
1982,Czech Republic,None,None,fb87582825f9d28a8d42c5e5e5e8b23d,51802d8bb965d0e5be697f07d16922e8,6adf97f83acf6453d4a6a4b1070f3754,6adf97f83acf6453d4a6a4b1070f3754
1983,Denmark,None,None,1e4d36177d71bbb3558e43af9577d70e,424214945ba5615eca039bfe5d731c09,6adf97f83acf6453d4a6a4b1070f3754,6adf97f83acf6453d4a6a4b1070f3754
1984,Djibouti,None,None,1b36ea1c9b7a1c3ad668b8bb5df7963f,902f92c09660b797958acb27421fd9ac,6adf97f83acf6453d4a6a4b1070f3754,6adf97f83acf6453d4a6a4b1070f3754
1985,Dominica,None,None,1f36c15d6a3d18d52e8d493bc8187cb9,531c552093668f148d3c826fca6e3cc8,6adf97f83acf6453d4a6a4b1070f3754,6adf97f83acf6453d4a6a4b1070f3754
1986,Dominican Republic,None,None,8c249675aea6c3cbd91661bbae767ff1,662c15622f9c9c5decc0db80edb6c416,6adf97f83acf6453d4a6a4b1070f3754,6adf97f83acf6453d4a6a4b1070f3754
