pais,codigo,continente,IDS,ELE,IDH,PIB_PerCap,poblacion,huella carbono,huella ecologica,biocapacidad,tierra
Cabo Verde,CPV,Africa,68.1,73.0,0.66,3.740, 0.5 ,0.0,3.4,0.5,1.2
Cambodia,KHM,Asia,64.5,70.0,0.59,1.203, 16.2 ,0.0,2.8,1.2,0.9
Cameroon,CMR,Africa,55.3,59.0,0.56,1.502, 25.2 ,0.3,2.3,1.6,0.8
Canada,CAN,North America,79.2,82.0,0.93,51.518, 37.1 ,10.7,19.8,14.7,5.1
Central African Republic,CAF,Africa,38.3,53.0,0.4,379, 4.7 ,0.1,2.4,7.5,0.8
Chad,TCD,Africa,40.9,54.0,0.4,812, 15.5 ,0.1,3.3,1.7,1.0
Chile,CHL,South America,77.1,80.0,0.85,15.110, 18.7 ,3.6,9.0,3.3,2.7
China,CHN,Asia,72.1,77.0,0.76,7.469, 1.459.4 ,5.3,7.2,0.9,2.4
Colombia,COL,South America,70.6,77.0,0.76,7.692, 49.7 ,1.2,3.4,3.4,1.2
Comoros,COM,Africa,,64.0,0.55,1.403, 0.8 ,0.0,2.1,0.4,0.8
Congo,COG,Africa,52.9,64.0,0.57,2.304, 5.2 ,0.4,2.0,8.8,0.6
Costa Rica,CRI,North America,73.6,80.0,0.81,9.937, 5.0 ,1.6,4.2,1.5,1.5
Côte d'Ivoire,CIV,Africa,57.6,57.0,0.53,1.668, 25.1 ,0.4,3.0,1.8,0.9
Croatia,HRV,Europe,80.4,78.0,0.85,15.708, 4.2 ,3.7,7.0,2.8,2.5
Cuba,CUB,North America,73.7,79.0,0.78,6.817, 11.3 ,1.8,3.0,0.8,1.1
Cyprus,CYP,Asia,74.9,81.0,0.89,23.395, 1.2 ,0.0,5.9,0.2,2.4
Czech Republic,CZE,Europe,81.4,79.0,0.9,23.721, 10.7 ,6.8,11.7,2.3,3.6
Denmark,DNK,Europe,84.9,81.0,0.94,64.672, 5.8 ,5.4,11.0,3.6,4.2
Djibouti,DJI,Africa,53.8,67.0,0.52,-, 1.0 ,0.7,3.3,0.7,1.5
Dominica,DMA,North America,,,0.74,6.697, 0.1 ,0.0,3.8,1.1,1.6
Dominican Republic,DOM,North America,70.8,74.0,0.75,7.698, 10.6 ,1.8,3.1,0.7,1.1
Ecuador,ECU,South America,72.5,77.0,0.76,5.181, 17.1 ,0.0,4.0,1.9,1.1
Egypt,EGY,Africa,68.6,72.0,0.7,2.906, 98.4 ,0.0,3.1,0.4,1.2
El Salvador,SLV,North America,67.9,73.0,0.67,3.507, 6.4 ,1.1,3.2,0.6,1.3
Equatorial Guinea,GNQ,Africa,,58.0,0.58,10.135, 1.3 ,3.1,4.5,3.4,1.3
Eritrea,ERI,Africa,,66.0,0.46,-, 3.5 ,0.2,1.5,2.3,0.5
Estonia,EST,Europe,81.6,78.0,0.89,19.919, 1.3 ,7.3,18.6,9.3,5.1
Eswatini,SWZ,Africa,53.3,59.0,0.61,4.762, 1.1 ,0.9,4.8,1.0,1.6
Ethiopia,ETH,Africa,54.5,66.0,0.48,571, 109.2 ,0.1,2.0,0.6,0.6
Fiji,FJI,Oceania,71.2,67.0,0.74,4.795, 0.9 ,1.1,4.6,2.3,1.7
Finland,FIN,Europe,85.9,82.0,0.94,48.890, 5.5 ,6.9,18.3,12.1,4.1
France,FRA,Europe,81.7,83.0,0.9,45.057, 65.0 ,4.2,8.1,2.4,2.8
French Guiana,GUF,South America,,,,, 0.3 ,2.0,3.2,92.1,1.2
French Polynesia,PYF,Oceania,,77.0,,-, 0.3 ,0.0,6.1,1.3,2.5
Gabon,GAB,Africa,62.8,66.0,0.7,9.051, 2.1 ,1.0,3.6,18.9,1.2
Gambia,GMB,Africa,59.3,62.0,0.49,791, 2.3 ,0.4,1.5,0.5,0.7
Georgia,GEO,Asia,72.2,74.0,0.81,4.407, 4.0 ,2.3,3.9,1.3,1.5
Germany,DEU,Europe,82.5,81.0,0.95,47.158, 83.1 ,6.0,9.0,1.5,3.0
Ghana,GHA,Africa,62.5,64.0,0.61,1.808, 29.8 ,0.6,3.9,1.3,1.3
Greece,GRC,Europe,75.4,82.0,0.88,24.044, 10.5 ,4.7,7.1,1.2,2.6
Grenada,GRD,North America,,72.0,0.77,9.092, 0.1 ,0.0,4.2,2.1,1.6
Guadeloupe,GLP,North America,,,,, 0.4 ,0.0,5.7,0.5,2.3
Guatemala,GTM,North America,59.9,74.0,0.66,3.164, 17.2 ,0.9,3.3,1.0,1.1
Guinea,GIN,Africa,51.0,61.0,0.47,897, 12.4 ,0.3,3.4,2.1,1.2
Guinea-Bissau,GNB,Africa,,58.0,0.47,623, 1.9 ,0.2,3.0,2.7,0.9
Guyana,GUY,South America,57.9,70.0,0.68,5.825, 0.8 ,2.8,6.4,72.7,2.2
Haiti,HTI,North America,51.4,64.0,0.51,1.282, 11.1 ,0.2,1.0,0.2,0.4
Honduras,HND,North America,62.8,75.0,0.63,2.219, 9.6 ,0.0,2.9,1.7,1.0
Hungary,HUN,Europe,78.8,76.0,0.85,16.894, 9.7 ,4.1,7.7,2.6,2.4
India,IND,Asia,60.1,69.0,0.64,2.085, 1.352.6 ,1.3,2.4,0.4,0.8
