,Pais,Continente,Codigo,Anio,Combustibles Fosiles,Renovables,Nuclear,Id_Pais
156,Algeria,Africa,DZA,2007,99.84009552001952,0.1599045693874359,0.0,575b9408b6daa2ddcefbcf6d81c9b4c9
157,Algeria,Africa,DZA,2008,99.81224822998048,0.1877543032169342,0.0,575b9408b6daa2ddcefbcf6d81c9b4c9
158,Algeria,Africa,DZA,2009,99.7872085571289,0.2127854824066162,0.0,575b9408b6daa2ddcefbcf6d81c9b4c9
159,Algeria,Africa,DZA,2010,99.8848648071289,0.1151323765516281,0.0,575b9408b6daa2ddcefbcf6d81c9b4c9
160,Algeria,Africa,DZA,2011,99.76473999023438,0.2352599054574966,0.0,575b9408b6daa2ddcefbcf6d81c9b4c9
161,Algeria,Africa,DZA,2012,99.77546691894533,0.2245319485664367,0.0,575b9408b6daa2ddcefbcf6d81c9b4c9
162,Algeria,Africa,DZA,2013,99.93524169921876,0.0647631958127021,0.0,575b9408b6daa2ddcefbcf6d81c9b4c9
163,Algeria,Africa,DZA,2014,99.88249969482422,0.1175024658441543,0.0,575b9408b6daa2ddcefbcf6d81c9b4c9
164,Algeria,Africa,DZA,2015,99.90319061279295,0.09681336581707,0.0,575b9408b6daa2ddcefbcf6d81c9b4c9
165,Algeria,Africa,DZA,2016,99.85418701171876,0.1458071172237396,0.0,575b9408b6daa2ddcefbcf6d81c9b4c9
166,Algeria,Africa,DZA,2017,99.75298309326172,0.2470182925462722,0.0,575b9408b6daa2ddcefbcf6d81c9b4c9
167,Algeria,Africa,DZA,2018,99.71231842041016,0.2876792848110199,0.0,575b9408b6daa2ddcefbcf6d81c9b4c9
168,Algeria,Africa,DZA,2019,99.70525360107422,0.2947469651699066,0.0,575b9408b6daa2ddcefbcf6d81c9b4c9
169,Algeria,Africa,DZA,2020,99.7021026611328,0.2978994250297546,0.0,575b9408b6daa2ddcefbcf6d81c9b4c9
170,Algeria,Africa,DZA,2021,99.73863220214844,0.2613673508167267,,575b9408b6daa2ddcefbcf6d81c9b4c9
171,Argentina,South America,ARG,1965,98.89727020263672,1.1027235984802246,0.0,3536be57ce0713954e454ae6c53ec023
172,Argentina,South America,ARG,1966,98.91809844970705,1.0818976163864136,0.0,3536be57ce0713954e454ae6c53ec023
173,Argentina,South America,ARG,1967,98.92343139648438,1.0765652656555176,0.0,3536be57ce0713954e454ae6c53ec023
174,Argentina,South America,ARG,1968,98.7726593017578,1.2273393869400024,0.0,3536be57ce0713954e454ae6c53ec023
175,Argentina,South America,ARG,1969,98.93482208251952,1.0651699304580688,0.0,3536be57ce0713954e454ae6c53ec023
176,Argentina,South America,ARG,1970,98.64659118652344,1.3534115552902222,0.0,3536be57ce0713954e454ae6c53ec023
177,Argentina,South America,ARG,1971,98.72967529296876,1.270321488380432,0.0,3536be57ce0713954e454ae6c53ec023
178,Argentina,South America,ARG,1972,98.76499938964844,1.2349965572357178,0.0,3536be57ce0713954e454ae6c53ec023
179,Argentina,South America,ARG,1973,97.71629333496094,2.2836952209472656,0.0,3536be57ce0713954e454ae6c53ec023
180,Argentina,South America,ARG,1974,95.6571273803711,3.6298017501831055,0.7130764722824097,3536be57ce0713954e454ae6c53ec023
181,Argentina,South America,ARG,1975,94.36563873291016,3.862202882766724,1.7721593379974363,3536be57ce0713954e454ae6c53ec023
182,Argentina,South America,ARG,1976,94.71892547607422,3.5544235706329346,1.7266478538513184,3536be57ce0713954e454ae6c53ec023
183,Argentina,South America,ARG,1977,95.03849792480467,3.9092395305633545,1.0522607564926147,3536be57ce0713954e454ae6c53ec023
184,Argentina,South America,ARG,1978,92.91353607177734,5.227678298950195,1.8587846755981443,3536be57ce0713954e454ae6c53ec023
185,Argentina,South America,ARG,1979,91.68854522705078,6.702306270599365,1.6091538667678833,3536be57ce0713954e454ae6c53ec023
186,Argentina,South America,ARG,1980,89.04033660888672,9.55285930633545,1.4067963361740112,3536be57ce0713954e454ae6c53ec023
187,Argentina,South America,ARG,1981,88.7138442993164,9.54153060913086,1.7446242570877075,3536be57ce0713954e454ae6c53ec023
188,Argentina,South America,ARG,1982,87.63311004638672,11.22947883605957,1.137407898902893,3536be57ce0713954e454ae6c53ec023
189,Argentina,South America,ARG,1983,86.70935821533203,11.303474426269531,1.9871739149093628,3536be57ce0713954e454ae6c53ec023
190,Argentina,South America,ARG,1984,85.16596221923828,12.132671356201172,2.7013633251190186,3536be57ce0713954e454ae6c53ec023
191,Argentina,South America,ARG,1985,83.84343719482422,12.75955581665039,3.39701247215271,3536be57ce0713954e454ae6c53ec023
192,Argentina,South America,ARG,1986,84.51689147949219,12.2985258102417,3.1845922470092773,3536be57ce0713954e454ae6c53ec023
193,Argentina,South America,ARG,1987,84.30306243896484,12.247486114501951,3.4494497776031494,3536be57ce0713954e454ae6c53ec023
194,Argentina,South America,ARG,1988,88.53998565673828,8.417366981506348,3.0426433086395264,3536be57ce0713954e454ae6c53ec023
195,Argentina,South America,ARG,1989,89.71420288085938,7.543593406677246,2.742203712463379,3536be57ce0713954e454ae6c53ec023
196,Argentina,South America,ARG,1990,85.68010711669922,10.292678833007812,4.027214527130127,3536be57ce0713954e454ae6c53ec023
197,Argentina,South America,ARG,1991,86.697021484375,9.081443786621094,4.221542835235596,3536be57ce0713954e454ae6c53ec023
198,Argentina,South America,ARG,1992,86.2008056640625,10.206743240356444,3.5924527645111084,3536be57ce0713954e454ae6c53ec023
199,Argentina,South America,ARG,1993,83.97763061523438,12.216532707214355,3.8058388233184814,3536be57ce0713954e454ae6c53ec023
200,Argentina,South America,ARG,1994,82.85507202148438,13.306406021118164,3.838524580001831,3536be57ce0713954e454ae6c53ec023
201,Argentina,South America,ARG,1995,84.27295684814453,12.535518646240234,3.1915225982666016,3536be57ce0713954e454ae6c53ec023
202,Argentina,South America,ARG,1996,86.55399322509766,10.225037574768066,3.220966100692749,3536be57ce0713954e454ae6c53ec023
203,Argentina,South America,ARG,1997,84.08763122558594,12.514141082763672,3.39823055267334,3536be57ce0713954e454ae6c53ec023
204,Argentina,South America,ARG,1998,85.44583892822266,11.482151985168455,3.071998357772827,3536be57ce0713954e454ae6c53ec023
205,Argentina,South America,ARG,1999,87.87606048583984,9.226556777954102,2.8973748683929443,3536be57ce0713954e454ae6c53ec023
206,Argentina,South America,ARG,2000,85.20771026611328,12.283858299255373,2.5084304809570312,3536be57ce0713954e454ae6c53ec023
207,Argentina,South America,ARG,2001,81.14663696289062,15.937487602233888,2.915868759155273,3536be57ce0713954e454ae6c53ec023
208,Argentina,South America,ARG,2002,81.25931549072266,16.249305725097656,2.491374015808105,3536be57ce0713954e454ae6c53ec023
