anio,anomalia la temperatura media promedio 1961 a 1990,limite superior,limite inferior,Id_anio
1894,-0.41,-0.352,-0.487,5fa9e41bfec0725742cc9d15ef594120
1895,-0.39,-0.335,-0.46,059fdcd96baeb75112f09fa1dcc740cc
1896,-0.186,-0.136,-0.255,e06f967fb0d355592be4e7674fa31d26
1897,-0.206,-0.153,-0.273,af3303f852abeccd793068486a391626
1898,-0.412,-0.362,-0.479,11f524c3fbfeeca4aa916edcb6b6392e
1899,-0.289,-0.231,-0.355,6be5336db2c119736cf48f475e051bfe
1900,-0.203,-0.147,-0.272,9fdb62f932adf55af2c0e09e55861964
1901,-0.259,-0.208,-0.326,d54e99a6c03704e95e6965532dec148b
1902,-0.402,-0.355,-0.461,fc4ddc15f9f4b4b06ef7844d6bb53abf
1903,-0.479,-0.431,-0.543,944626adf9e3b76a3919b50dc0b080a4
1904,-0.52,-0.471,-0.58,c91591a8d461c2869b9f535ded3e213e
1905,-0.377,-0.326,-0.438,73e0f7487b8e5297182c5a711d20bf26
1906,-0.283,-0.232,-0.338,dea9ddb25cbf2352cf4dec30222a02a5
1907,-0.465,-0.423,-0.523,77369e37b2aa1404f416275183ab055f
1908,-0.511,-0.468,-0.563,65699726a3c601b9f31bf04019c8593c
1909,-0.522,-0.476,-0.576,0609154fa35b3194026346c9cac2a248
1910,-0.49,-0.448,-0.547,ab7314887865c4265e896c6e209d1cd6
1911,-0.544,-0.498,-0.595,04df4d434d481c5bb723be1b6df1ee65
1912,-0.437,-0.392,-0.486,ff7d0f525b3be596a51fb919492c099c
1913,-0.424,-0.381,-0.471,c44799b04a1c72e3c8593a53e8000c78
1914,-0.244,-0.197,-0.291,07a4e20a7bbeeb7a736682b26b16ebe8
1915,-0.141,-0.085,-0.202,b432f34c5a997c8e7c806a895ecc5e25
1916,-0.383,-0.328,-0.437,65fc52ed8f88c81323a418ca94cec2ed
1917,-0.468,-0.413,-0.525,cb79f8fa58b91d3af6c9c991f63962d3
1918,-0.333,-0.27,-0.396,e74c0d42b4433905293aab661fcf8ddb
1919,-0.275,-0.217,-0.327,8c8a58fa97c205ff222de3685497742c
1920,-0.247,-0.198,-0.296,44968aece94f667e4095002d140b5896
1921,-0.187,-0.149,-0.237,9f6992966d4c363ea0162a056cb45fe5
1922,-0.302,-0.262,-0.346,333222170ab9edca4785c39f55221fe7
1923,-0.276,-0.237,-0.323,414e773d5b7e5c06d564f594bf6384d0
1924,-0.294,-0.259,-0.34,b139e104214a08ae3f2ebcce149cdf6e
1925,-0.215,-0.178,-0.265,0950ca92a4dcf426067cfd2246bb5ff3
1926,-0.108,-0.07,-0.155,5103c3584b063c431bd1268e9b5e76fb
1927,-0.21,-0.177,-0.253,e5b294b70c9647dcf804d7baa1903918
1928,-0.206,-0.174,-0.253,5bce843dd76db8c939d5323dd3e54ec9
1929,-0.35,-0.32,-0.394,139f0874f2ded2e41b0393c4ac5644f7
1930,-0.137,-0.104,-0.181,29530de21430b7540ec3f65135f7323c
1931,-0.087,-0.055,-0.133,15d185eaa7c954e77f5343d941e25fbd
1932,-0.137,-0.107,-0.183,52d2752b150f9c35ccb6869cbf074e48
1933,-0.273,-0.24,-0.32,1e913e1b06ead0b66e30b6867bf63549
1934,-0.131,-0.1,-0.177,8562ae5e286544710b2e7ebe9858833b
1935,-0.178,-0.15,-0.221,8d55a249e6baa5c06772297520da2051
1936,-0.147,-0.12,-0.186,11108a3dbfe4636cb40b84b803b2fff6
1937,-0.026,0.001,-0.064,136f951362dab62e64eb8e841183c2a9
1938,-0.006,0.017,-0.044,ad4cc1fb9b068faecfb70914acc63395
